Filename,execution_time_cmp,execution_time_oz,execution_time_model
ex6_3,29.1,32.0,34.5
ex6_4,31.8,34.8,36.5
ex6_5,32.5,36.2,39.3
ex6_6,34.8,39.0,41.7
ex6_7,37.1,41.2,44.0
ex7_3,31.0,33.4,36.5
ex7_4,32.8,35.9,37.2
ex7_5,34.2,37.7,36.8
ex7_6,36.5,40.0,39.0
ex7_7,38.9,42.7,37.5
ex8_3,52.8,56.1,49.3
ex8_4,67.1,69.8,58.7
ex8_5,80.2,83.5,74.2
ex8_6,95.5,98.0,86.8
ex8_7,110.1,112.4,99.8
ex9_3,48.4,52.0,50.5
ex9_4,67.2,68.9,63.4
ex9_5,79.4,83.0,76.1
ex9_6,94.1,97.8,89.1
ex9_7,107.0,110.2,100.7
