Filename,execution_time_cmp,execution_time_oz,execution_time_model
ex6_3,27.0,29.6,31.4
ex6_4,29.1,32.1,34.0
ex6_5,30.0,33.0,35.6
ex6_6,31.0,35.0,37.2
ex6_7,32.5,36.8,39.2
ex7_3,28.2,30.5,33.0
ex7_4,29.3,32.0,33.8
ex7_5,31.4,34.0,33.9
ex7_6,33.0,36.0,37.3
ex7_7,35.0,38.0,33.5
ex8_3,45.1,48.6,44.5
ex8_4,55.8,60.0,50.5
ex8_5,68.5,71.3,63.4
ex8_6,79.0,83.5,74.8
ex8_7,91.5,95.0,87.3
ex9_3,43.2,47.0,45.5
ex9_4,56.0,60.0,53.4
ex9_5,69.0,72.3,64.0
ex9_6,80.2,85.1,76.1
ex9_7,93.0,96.5,88.4
